水利種別(消火栓),水利種別(消火栓)名,市町村(消火栓)名,担当区内通番(消火栓),設置場所-1(消火栓),配管径,Ｘ座標(栓)(座標),Ｙ座標(栓)(座標),緯度(栓)(座標),経度(栓)(座標),備考
01,消火栓,彦根市,1112,彦根市犬方町　 ,100,2259676,-8513198,0351356280,1361453844,
01,消火栓,彦根市,1113,彦根市犬方町　 ,150,2244852,-8517228,0351354984,1361447976,
01,消火栓,彦根市,1114,彦根市犬方町　 ,150,2250423,-8525312,0351352356,1361450172,
01,消火栓,彦根市,1115,彦根市堀町　 ,150,2223336,-8526429,0351352015,1361439457,
01,消火栓,彦根市,1116,彦根市金剛寺町　 ,150,2219527,-8544800,0351346056,1361437932,
01,消火栓,彦根市,1117,彦根市金剛寺町　 ,150,2215657,-8562335,0351340368,1361436384,
01,消火栓,彦根市,1118,彦根市犬方町　 ,150,2259633,-8532166,0351350124,1361453808,
01,消火栓,彦根市,1119,彦根市犬方町　 ,75,2267345,-8522829,0351353148,1361456868,
01,消火栓,彦根市,1120,彦根市犬方町　 ,150,2268941,-8542015,0351346920,1361457480,
01,消火栓,彦根市,1121,彦根市極楽寺町　 ,150,2198819,-8599679,0351328261,1361429688,
01,消火栓,彦根市,1122,彦根市川瀬馬場町　 ,150,2182783,-8620669,0351321462,1361423326,
01,消火栓,彦根市,1123,彦根市葛篭町　 ,75,2223231,-8615516,0351323102,1361439328,
01,消火栓,彦根市,1124,彦根市犬方町　 ,150,2285545,-8557835,0351341772,1361504032,
01,消火栓,彦根市,1125,彦根市高宮町　 ,300,2327507,-8559503,0351341196,1361520628,
01,消火栓,彦根市,1126,彦根市高宮町　 ,75,2337358,-8567686,0351338532,1361524516,
01,消火栓,彦根市,1127,彦根市高宮町　 ,300,2319447,-8570348,0351337683,1361517429,
01,消火栓,彦根市,1128,彦根市法士町　 ,300,2311276,-8583171,0351333528,1361514184,
01,消火栓,彦根市,1129,彦根市法士町　 ,250,2301470,-8592736,0351330432,1361510296,
01,消火栓,彦根市,1130,彦根市法士町　 ,250,2292888,-8602845,0351327158,1361506892,
01,消火栓,彦根市,1131,彦根市葛篭町　 ,250,2281602,-8618298,0351322152,1361502412,
01,消火栓,彦根市,1132,彦根市西葛篭町　 ,250,2271991,-8633186,0351317328,1361458596,
01,消火栓,彦根市,1133,彦根市西葛篭町　 ,75,2238878,-8629363,0351318596,1361445503,
01,消火栓,彦根市,1134,彦根市葛篭町　 ,250,2261110,-8649741,0351311964,1361454276,
01,消火栓,彦根市,1135,彦根市葛篭町　 ,75,2271402,-8652488,0351311064,1361458344,
01,消火栓,彦根市,1136,彦根市葛篭町　 ,75,2266782,-8661263,0351308220,1361456508,
01,消火栓,彦根市,1137,彦根市葛篭町　 ,75,2259981,-8671374,0351304944,1361453808,
01,消火栓,彦根市,1138,彦根市葛篭町　 ,250,2250144,-8668958,0351305736,1361449920,
01,消火栓,彦根市,1139,彦根市葛篭町　 ,250,2240975,-8678853,0351302532,1361446284,
01,消火栓,彦根市,1140,彦根市清崎町　 ,100,1984695,-8578068,0351335436,1361305016,
01,消火栓,彦根市,1141,彦根市清崎町　 ,100,1978533,-8590505,0351331404,1361302568,
01,消火栓,彦根市,1142,彦根市清崎町　 ,50,1987831,-8596918,0351329316,1361306240,
01,消火栓,彦根市,1143,彦根市清崎町　 ,200,1984571,-8604579,0351326832,1361304944,
01,消火栓,彦根市,1144,彦根市賀田山町　 ,75,1914382,-8641335,0351314952,1361237152,
01,消火栓,彦根市,1145,彦根市賀田山町　 ,75,1905205,-8649008,0351312468,1361233516,
01,消火栓,彦根市,1146,彦根市賀田山町　 ,150,1907086,-8662458,0351308101,1361234249,
01,消火栓,彦根市,1147,彦根市賀田山町　 ,150,1888274,-8692414,0351258392,1361226784,
01,消火栓,彦根市,1148,彦根市賀田山町　 ,150,1884108,-8702738,0351255044,1361225128,
01,消火栓,彦根市,1149,彦根市賀田山町　 ,150,1879719,-8712163,0351251988,1361223385,
01,消火栓,彦根市,1150,彦根市賀田山町　 ,100,1969272,-8684698,0351300840,1361258824,
01,消火栓,彦根市,1151,彦根市賀田山町　 ,150,1982515,-8690218,0351259040,1361304057,
01,消火栓,彦根市,1152,彦根市清崎町　 ,150,1997170,-8675452,0351303821,1361309866,
01,消火栓,彦根市,1153,彦根市清崎町　 ,150,1984566,-8665461,0351307073,1361304889,
01,消火栓,彦根市,1154,彦根市清崎町　 ,150,1997033,-8645203,0351313639,1361309838,
01,消火栓,彦根市,1155,彦根市清崎町　 ,200,2010184,-8620939,0351321504,1361315060,
